Democrat	Republican	Undecided	Other	Not Voting	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
44.0	44.0	9.0	2.0	1.0	yougov-economist-16733	YouGov/Economist	2012-11-03	2012-11-05		Likely Voters	743		Internet	Nonpartisan	None
48.0	49.0	1.0			cnn-16606	CNN	2012-11-02	2012-11-04		Likely Voters	693	3.5	Live Phone	Nonpartisan	None
47.0	46.0	7.0			dailykos-seiu-ppp-d-16640	DailyKos/SEIU/PPP (D)	2012-11-01	2012-11-04		Likely Voters	1300	2.7	Automated Phone	Sponsor	Dem
46.0	46.0	7.0	1.0	1.0	democracy-corps-d-16617	Democracy Corps (D)	2012-11-01	2012-11-04		Likely Voters	1080		Live Phone	Pollster	Dem
46.0	46.0	5.0	3.0		rasmussen-16649	Rasmussen	2012-10-29	2012-11-04		Likely Voters	7000		Automated Phone	Nonpartisan	None
47.0	45.0	8.0			nbc-wsj-16546	NBC/WSJ	2012-11-01	2012-11-03		Likely Voters	1475	2.55	Live Phone	Nonpartisan	None
41.0	45.0	10.0	2.0		yougov-economist-16365	YouGov/Economist	2012-10-26	2012-10-28		Likely Voters	688		Internet	Nonpartisan	None
44.0	47.0				united-technologies-national-journal-16380	United Technologies/National Journal	2012-10-25	2012-10-28		Likely Voters	713	4.4	Live Phone	Nonpartisan	None
48.0	46.0	5.0			cbs-times-16346	CBS/Times	2012-10-25	2012-10-28		Likely Voters	563	4.0	Live Phone	Nonpartisan	None
47.0	46.0	7.0			dailykos-seiu-ppp-d-16322	DailyKos/SEIU/PPP (D)	2012-10-25	2012-10-28		Likely Voters	1400	2.6	Automated Phone	Sponsor	Dem
43.0	46.0	8.0	3.0		rasmussen-16288	Rasmussen	2012-10-22	2012-10-28		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	43.0	13.0			npr-16310	NPR	2012-10-23	2012-10-25		Likely Voters	1000	3.1	Live Phone	Pollster	Dem
45.0	46.0	9.0			politico-gwu-battleground-16258	Politico/GWU/Battleground	2012-10-22	2012-10-25		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
44.0	42.0	12.0	2.0	0.0	yougov-economist-16066	YouGov/Economist	2012-10-20	2012-10-22		Likely Voters	803		Internet	Nonpartisan	None
46.0	46.0	8.0			dailykos-seiu-ppp-d-16074	DailyKos/SEIU/PPP (D)	2012-10-18	2012-10-21		Likely Voters	1300	2.7	Automated Phone	Sponsor	Dem
47.0	44.0	6.0	2.0		democracy-corps-d-16024	Democracy Corps (D)	2012-10-18	2012-10-21		Likely Voters	1000	3.1	Live Phone	Pollster	Dem
43.0	44.0	10.0	2.0		rasmussen-16153	Rasmussen	2012-10-15	2012-10-21		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
45.0	43.0	12.0			nbc-wsj-16000	NBC/WSJ	2012-10-17	2012-10-20		Registered Voters	1000	3.1	Live Phone	Nonpartisan	None
46.0	46.0	8.0			politico-gwu-battleground-16012	Politico/GWU/Battleground	2012-10-14	2012-10-18		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
42.0	43.0	13.0	2.0	1.0	yougov-economist-15873	YouGov/Economist	2012-10-13	2012-10-15		Likely Voters	826		Internet	Nonpartisan	None
44.0	49.0	7.0			dailykos-seiu-ppp-d-15824	DailyKos/SEIU/PPP (D)	2012-10-12	2012-10-14		Likely Voters	1600	2.5	Automated Phone	Sponsor	Dem
43.0	42.0	12.0	3.0		rasmussen-15807	Rasmussen	2012-10-08	2012-10-14		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	44.0	10.0			politico-gwu-battleground-15781	Politico/GWU/Battleground	2012-10-07	2012-10-11		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
46.0	41.0	10.0	2.0	1.0	yougov-economist-15646	YouGov/Economist	2012-10-06	2012-10-08		Likely Voters			Internet	Nonpartisan	None
45.0	47.0	7.0			dailykos-seiu-ppp-d-15619	DailyKos/SEIU/PPP (D)	2012-10-04	2012-10-07		Likely Voters	1300	2.7	Automated Phone	Sponsor	Dem
44.0	43.0	10.0	3.0		rasmussen-15600	Rasmussen	2012-10-01	2012-10-07		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	46.0	9.0			politico-gwu-battleground-15584	Politico/GWU/Battleground	2012-10-01	2012-10-04		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
43.0	43.0	13.0	2.0	0.0	yougov-economist-15515	YouGov/Economist	2012-09-29	2012-10-01		Likely Voters	785		Internet	Nonpartisan	None
45.0	43.0				united-technologies-national-journal-15484	United Technologies/National Journal	2012-09-27	2012-09-30		Likely Voters	789		Live Phone	Nonpartisan	None
47.0	45.0	8.0			dailykos-seiu-ppp-d-15473	DailyKos/SEIU/PPP (D)	2012-09-27	2012-09-30		Likely Voters	1100	2.8	Automated Phone	Sponsor	Dem
48.0	45.0	6.0	2.0	1.0	npr-15489	NPR	2012-09-26	2012-09-30		Likely Voters	800		Live Phone	Pollster	Dem
47.0	43.0	10.0			nbc-wsj-15480	NBC/WSJ	2012-09-26	2012-09-30		Registered Voters	1000	3.1	Live Phone	Nonpartisan	None
41.0	45.0	11.0	3.0		rasmussen-15443	Rasmussen	2012-09-24	2012-09-30		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	45.0	11.0	1.0		bloomberg-15362	Bloomberg	2012-09-21	2012-09-24		Likely Voters	789	3.5	Live Phone	Nonpartisan	None
48.0	44.0	8.0			dailykos-seiu-ppp-d-15291	DailyKos/SEIU/PPP (D)	2012-09-20	2012-09-23		Likely Voters	1200	2.8	Automated Phone	Sponsor	Dem
43.0	44.0	11.0	3.0		rasmussen-15332	Rasmussen	2012-09-17	2012-09-23		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	45.0	9.0			politico-gwu-battleground-15259	Politico/GWU/Battleground	2012-09-16	2012-09-20		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
44.0	36.0	15.0	1.0	3.0	yougov-economist-15131	YouGov/Economist	2012-09-15	2012-09-17		Adults	1000	3.9	Internet	Nonpartisan	None
48.0	45.0	8.0			dailykos-seiu-ppp-d-15102	DailyKos/SEIU/PPP (D)	2012-09-13	2012-09-16		Likely Voters	1000	3.1	Automated Phone	Sponsor	Dem
43.0	44.0	11.0	3.0		rasmussen-15089	Rasmussen	2012-09-10	2012-09-16		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	39.0	18.0			jz-analytics-15031	JZ Analytics	2012-09-11	2012-09-12		Likely Voters	1014	3.1	Internet	Nonpartisan	None
46.0	46.0	6.0	1.0		democracy-corps-d-15006	Democracy Corps (D)	2012-09-08	2012-09-12		Likely Voters	1000	3.1	Live Phone	Pollster	Dem
43.0	36.0	12.0	3.0	7.0	yougov-economist-14980	YouGov/Economist	2012-09-08	2012-09-10		Adults	1000	3.9	Internet	Nonpartisan	None
49.0	43.0	7.0			ipsos-reuters-14978	Ipsos/Reuters	2012-09-07	2012-09-10		Registered Voters	942	3.4	Live Phone	Nonpartisan	None
49.0	43.0	9.0			dailykos-seiu-ppp-d-14960	DailyKos/SEIU/PPP (D)	2012-09-07	2012-09-09		Likely Voters	1000	3.1	Automated Phone	Sponsor	Dem
44.0	42.0	11.0	4.0		rasmussen-15022	Rasmussen	2012-09-03	2012-09-09		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
40.0	32.0	16.0	2.0	11.0	yougov-economist-14895	YouGov/Economist	2012-09-01	2012-09-03		Adults	1000	4.2	Internet	Nonpartisan	None
